"Utsatt område","Flyttyp","Relationsområde","2023"
"Bergsjön","Inflytt från annat område i Göteborg","Bergsjön",0
"Bergsjön","Inflytt från annat område i Göteborg","Biskopsgården",173
"Bergsjön","Inflytt från annat område i Göteborg","Gårdsten",71
"Bergsjön","Inflytt från annat område i Göteborg","Hammarkullen",95
"Bergsjön","Inflytt från annat område i Göteborg","Hisings Backa",96
"Bergsjön","Inflytt från annat område i Göteborg","Hjällbo",89
"Bergsjön","Inflytt från annat område i Göteborg","Lövgärdet",67
"Bergsjön","Inflytt från annat område i Göteborg","Tynnered/Grevegården/Opaltorget",40
"Bergsjön","Utflytt till annat område i Göteborg","Bergsjön",0
"Bergsjön","Utflytt till annat område i Göteborg","Biskopsgården",228
"Bergsjön","Utflytt till annat område i Göteborg","Gårdsten",97
"Bergsjön","Utflytt till annat område i Göteborg","Hammarkullen",89
"Bergsjön","Utflytt till annat område i Göteborg","Hisings Backa",87
"Bergsjön","Utflytt till annat område i Göteborg","Hjällbo",84
"Bergsjön","Utflytt till annat område i Göteborg","Lövgärdet",81
"Bergsjön","Utflytt till annat område i Göteborg","Tynnered/Grevegården/Opaltorget",55
"Biskopsgården","Inflytt från annat område i Göteborg","Bergsjön",228
"Biskopsgården","Inflytt från annat område i Göteborg","Biskopsgården",0
"Biskopsgården","Inflytt från annat område i Göteborg","Gårdsten",50
"Biskopsgården","Inflytt från annat område i Göteborg","Hammarkullen",57
"Biskopsgården","Inflytt från annat område i Göteborg","Hisings Backa",217
"Biskopsgården","Inflytt från annat område i Göteborg","Hjällbo",35
"Biskopsgården","Inflytt från annat område i Göteborg","Lövgärdet",61
"Biskopsgården","Inflytt från annat område i Göteborg","Tynnered/Grevegården/Opaltorget",58
"Biskopsgården","Utflytt till annat område i Göteborg","Bergsjön",173
"Biskopsgården","Utflytt till annat område i Göteborg","Biskopsgården",0
"Biskopsgården","Utflytt till annat område i Göteborg","Gårdsten",121
"Biskopsgården","Utflytt till annat område i Göteborg","Hammarkullen",66
"Biskopsgården","Utflytt till annat område i Göteborg","Hisings Backa",293
"Biskopsgården","Utflytt till annat område i Göteborg","Hjällbo",50
"Biskopsgården","Utflytt till annat område i Göteborg","Lövgärdet",48
"Biskopsgården","Utflytt till annat område i Göteborg","Tynnered/Grevegården/Opaltorget",86
"Gårdsten","Inflytt från annat område i Göteborg","Bergsjön",97
"Gårdsten","Inflytt från annat område i Göteborg","Biskopsgården",121
"Gårdsten","Inflytt från annat område i Göteborg","Gårdsten",0
"Gårdsten","Inflytt från annat område i Göteborg","Hammarkullen",58
"Gårdsten","Inflytt från annat område i Göteborg","Hisings Backa",59
"Gårdsten","Inflytt från annat område i Göteborg","Hjällbo",44
"Gårdsten","Inflytt från annat område i Göteborg","Lövgärdet",80
"Gårdsten","Inflytt från annat område i Göteborg","Tynnered/Grevegården/Opaltorget",19
"Gårdsten","Utflytt till annat område i Göteborg","Bergsjön",71
"Gårdsten","Utflytt till annat område i Göteborg","Biskopsgården",50
"Gårdsten","Utflytt till annat område i Göteborg","Gårdsten",0
"Gårdsten","Utflytt till annat område i Göteborg","Hammarkullen",49
"Gårdsten","Utflytt till annat område i Göteborg","Hisings Backa",63
"Gårdsten","Utflytt till annat område i Göteborg","Hjällbo",35
"Gårdsten","Utflytt till annat område i Göteborg","Lövgärdet",78
"Gårdsten","Utflytt till annat område i Göteborg","Tynnered/Grevegården/Opaltorget",4
"Hammarkullen","Inflytt från annat område i Göteborg","Bergsjön",89
"Hammarkullen","Inflytt från annat område i Göteborg","Biskopsgården",66
"Hammarkullen","Inflytt från annat område i Göteborg","Gårdsten",49
"Hammarkullen","Inflytt från annat område i Göteborg","Hammarkullen",0
"Hammarkullen","Inflytt från annat område i Göteborg","Hisings Backa",47
"Hammarkullen","Inflytt från annat område i Göteborg","Hjällbo",65
"Hammarkullen","Inflytt från annat område i Göteborg","Lövgärdet",57
"Hammarkullen","Inflytt från annat område i Göteborg","Tynnered/Grevegården/Opaltorget",8
"Hammarkullen","Utflytt till annat område i Göteborg","Bergsjön",95
"Hammarkullen","Utflytt till annat område i Göteborg","Biskopsgården",57
"Hammarkullen","Utflytt till annat område i Göteborg","Gårdsten",58
"Hammarkullen","Utflytt till annat område i Göteborg","Hammarkullen",0
"Hammarkullen","Utflytt till annat område i Göteborg","Hisings Backa",36
"Hammarkullen","Utflytt till annat område i Göteborg","Hjällbo",54
"Hammarkullen","Utflytt till annat område i Göteborg","Lövgärdet",61
"Hammarkullen","Utflytt till annat område i Göteborg","Tynnered/Grevegården/Opaltorget",11
"Hisings Backa","Inflytt från annat område i Göteborg","Bergsjön",87
"Hisings Backa","Inflytt från annat område i Göteborg","Biskopsgården",293
"Hisings Backa","Inflytt från annat område i Göteborg","Gårdsten",63
"Hisings Backa","Inflytt från annat område i Göteborg","Hammarkullen",36
"Hisings Backa","Inflytt från annat område i Göteborg","Hisings Backa",0
"Hisings Backa","Inflytt från annat område i Göteborg","Hjällbo",23
"Hisings Backa","Inflytt från annat område i Göteborg","Lövgärdet",54
"Hisings Backa","Inflytt från annat område i Göteborg","Tynnered/Grevegården/Opaltorget",33
"Hisings Backa","Utflytt till annat område i Göteborg","Bergsjön",96
"Hisings Backa","Utflytt till annat område i Göteborg","Biskopsgården",217
"Hisings Backa","Utflytt till annat område i Göteborg","Gårdsten",59
"Hisings Backa","Utflytt till annat område i Göteborg","Hammarkullen",47
"Hisings Backa","Utflytt till annat område i Göteborg","Hisings Backa",0
"Hisings Backa","Utflytt till annat område i Göteborg","Hjällbo",17
"Hisings Backa","Utflytt till annat område i Göteborg","Lövgärdet",32
"Hisings Backa","Utflytt till annat område i Göteborg","Tynnered/Grevegården/Opaltorget",27
"Hjällbo","Inflytt från annat område i Göteborg","Bergsjön",84
"Hjällbo","Inflytt från annat område i Göteborg","Biskopsgården",50
"Hjällbo","Inflytt från annat område i Göteborg","Gårdsten",35
"Hjällbo","Inflytt från annat område i Göteborg","Hammarkullen",54
"Hjällbo","Inflytt från annat område i Göteborg","Hisings Backa",17
"Hjällbo","Inflytt från annat område i Göteborg","Hjällbo",0
"Hjällbo","Inflytt från annat område i Göteborg","Lövgärdet",46
"Hjällbo","Inflytt från annat område i Göteborg","Tynnered/Grevegården/Opaltorget",3
"Hjällbo","Utflytt till annat område i Göteborg","Bergsjön",89
"Hjällbo","Utflytt till annat område i Göteborg","Biskopsgården",35
"Hjällbo","Utflytt till annat område i Göteborg","Gårdsten",44
"Hjällbo","Utflytt till annat område i Göteborg","Hammarkullen",65
"Hjällbo","Utflytt till annat område i Göteborg","Hisings Backa",23
"Hjällbo","Utflytt till annat område i Göteborg","Hjällbo",0
"Hjällbo","Utflytt till annat område i Göteborg","Lövgärdet",39
"Hjällbo","Utflytt till annat område i Göteborg","Tynnered/Grevegården/Opaltorget",14
"Lövgärdet","Inflytt från annat område i Göteborg","Bergsjön",81
"Lövgärdet","Inflytt från annat område i Göteborg","Biskopsgården",48
"Lövgärdet","Inflytt från annat område i Göteborg","Gårdsten",78
"Lövgärdet","Inflytt från annat område i Göteborg","Hammarkullen",61
"Lövgärdet","Inflytt från annat område i Göteborg","Hisings Backa",32
"Lövgärdet","Inflytt från annat område i Göteborg","Hjällbo",39
"Lövgärdet","Inflytt från annat område i Göteborg","Lövgärdet",0
"Lövgärdet","Inflytt från annat område i Göteborg","Tynnered/Grevegården/Opaltorget",5
"Lövgärdet","Utflytt till annat område i Göteborg","Bergsjön",67
"Lövgärdet","Utflytt till annat område i Göteborg","Biskopsgården",61
"Lövgärdet","Utflytt till annat område i Göteborg","Gårdsten",80
"Lövgärdet","Utflytt till annat område i Göteborg","Hammarkullen",57
"Lövgärdet","Utflytt till annat område i Göteborg","Hisings Backa",54
"Lövgärdet","Utflytt till annat område i Göteborg","Hjällbo",46
"Lövgärdet","Utflytt till annat område i Göteborg","Lövgärdet",0
"Lövgärdet","Utflytt till annat område i Göteborg","Tynnered/Grevegården/Opaltorget",6
"Tynnered/Grevegården/Opaltorget","Inflytt från annat område i Göteborg","Bergsjön",55
"Tynnered/Grevegården/Opaltorget","Inflytt från annat område i Göteborg","Biskopsgården",86
"Tynnered/Grevegården/Opaltorget","Inflytt från annat område i Göteborg","Gårdsten",4
"Tynnered/Grevegården/Opaltorget","Inflytt från annat område i Göteborg","Hammarkullen",11
"Tynnered/Grevegården/Opaltorget","Inflytt från annat område i Göteborg","Hisings Backa",27
"Tynnered/Grevegården/Opaltorget","Inflytt från annat område i Göteborg","Hjällbo",14
"Tynnered/Grevegården/Opaltorget","Inflytt från annat område i Göteborg","Lövgärdet",6
"Tynnered/Grevegården/Opaltorget","Inflytt från annat område i Göteborg","Tynnered/Grevegården/Opaltorget",0
"Tynnered/Grevegården/Opaltorget","Utflytt till annat område i Göteborg","Bergsjön",40
"Tynnered/Grevegården/Opaltorget","Utflytt till annat område i Göteborg","Biskopsgården",58
"Tynnered/Grevegården/Opaltorget","Utflytt till annat område i Göteborg","Gårdsten",19
"Tynnered/Grevegården/Opaltorget","Utflytt till annat område i Göteborg","Hammarkullen",8
"Tynnered/Grevegården/Opaltorget","Utflytt till annat område i Göteborg","Hisings Backa",33
"Tynnered/Grevegården/Opaltorget","Utflytt till annat område i Göteborg","Hjällbo",3
"Tynnered/Grevegården/Opaltorget","Utflytt till annat område i Göteborg","Lövgärdet",5
"Tynnered/Grevegården/Opaltorget","Utflytt till annat område i Göteborg","Tynnered/Grevegården/Opaltorget",0
