# ;;;;;;Nedladdat från datavärdskapet för luft, SMHI, http://www.smhi.se/datavardluft, 2023-12-18 11:13:53
# ;;;;;;Tidsangivelser i UTC+1, Svensk normaltid
#
#Stationsnamn;Nationell stationskod;Klassificering;Longitud;Latitud
#Danderyd Gymnasiet;344250;Suburban Background;18.042383;59.415592
#
#Ämne;Ämnesbeskrivning;Enhet;Mäthöjd;Inlet-id
#PM10;Particulate matter < 10 µm;ug.m-3;4;5198
#
Start;Slut;PM10 (5198)
2022-04-07;2022-04-08;11.4
2022-04-08;2022-04-09;
2022-04-09;2022-04-10;
2022-04-10;2022-04-11;0.800
2022-04-11;2022-04-12;28.9
2022-04-12;2022-04-13;28.3
2022-04-13;2022-04-14;25.7
2022-04-14;2022-04-15;10.1
2022-04-15;2022-04-16;11.2
2022-04-16;2022-04-17;5.50
2022-04-17;2022-04-18;12.0
2022-04-18;2022-04-19;17.4
2022-04-19;2022-04-20;10.7
2022-04-20;2022-04-21;2.00
2022-04-21;2022-04-22;3.50
2022-04-22;2022-04-23;11.0
2022-04-23;2022-04-24;13.7
2022-04-24;2022-04-25;9.70
2022-04-25;2022-04-26;17.8
2022-04-26;2022-04-27;10.2
2022-04-27;2022-04-28;18.3
2022-04-28;2022-04-29;24.1
2022-04-29;2022-04-30;12.3
2022-04-30;2022-05-01;21.3
2022-05-01;2022-05-02;12.5
2022-05-02;2022-05-03;55.1
2022-05-03;2022-05-04;18.4
2022-05-04;2022-05-05;16.1
2022-05-05;2022-05-06;28.3
2022-05-06;2022-05-07;20.9
2022-05-07;2022-05-08;8.10
2022-05-08;2022-05-09;4.60
2022-05-09;2022-05-10;20.0
2022-05-10;2022-05-11;35.9
2022-05-11;2022-05-12;12.9
2022-05-12;2022-05-13;10.3
2022-05-13;2022-05-14;17.1
2022-05-14;2022-05-15;6.00
2022-05-15;2022-05-16;5.00
2022-05-16;2022-05-17;5.40
2022-05-17;2022-05-18;14.8
2022-05-18;2022-05-19;16.8
2022-05-19;2022-05-20;12.6
2022-05-20;2022-05-21;11.0
2022-05-21;2022-05-22;10.8
2022-05-22;2022-05-23;8.80
2022-05-23;2022-05-24;13.8
2022-05-24;2022-05-25;16.2
2022-05-25;2022-05-26;12.5
2022-05-26;2022-05-27;8.60
2022-05-27;2022-05-28;8.00
2022-05-28;2022-05-29;1.20
2022-05-29;2022-05-30;4.40
2022-05-30;2022-05-31;4.50
2022-05-31;2022-06-01;13.2
2022-06-01;2022-06-02;
2022-06-02;2022-06-03;3.30
2022-06-03;2022-06-04;10.7
2022-06-04;2022-06-05;11.3
2022-06-05;2022-06-06;13.3
2022-06-06;2022-06-07;13.0
2022-06-07;2022-06-08;16.4
2022-06-08;2022-06-09;13.9
2022-06-09;2022-06-10;12.1
2022-06-10;2022-06-11;12.4
2022-06-11;2022-06-12;11.0
2022-06-12;2022-06-13;15.1
2022-06-13;2022-06-14;10.4
2022-06-14;2022-06-15;9.30
2022-06-15;2022-06-16;6.80
2022-06-16;2022-06-17;
2022-06-17;2022-06-18;8.20
2022-06-18;2022-06-19;12.5
2022-06-19;2022-06-20;
2022-06-20;2022-06-21;2.80
2022-06-21;2022-06-22;6.90
2022-06-22;2022-06-23;8.60
2022-06-23;2022-06-24;8.50
2022-06-24;2022-06-25;6.80
2022-06-25;2022-06-26;19.2
2022-06-26;2022-06-27;15.0
2022-06-27;2022-06-28;20.8
2022-06-28;2022-06-29;20.3
2022-06-29;2022-06-30;10.7
2022-06-30;2022-07-01;17.9
2022-07-01;2022-07-02;17.9
2022-07-02;2022-07-03;6.60
2022-07-03;2022-07-04;9.20
2022-07-04;2022-07-05;4.80
2022-07-05;2022-07-06;7.40
2022-07-06;2022-07-07;6.80
2022-07-07;2022-07-08;4.70
2022-07-08;2022-07-09;6.20
2022-07-09;2022-07-10;8.20
2022-07-10;2022-07-11;4.90
2022-07-11;2022-07-12;3.60
2022-07-12;2022-07-13;6.40
2022-07-13;2022-07-14;
2022-07-14;2022-07-15;2.30
2022-07-15;2022-07-16;4.60
2022-07-16;2022-07-17;5.90
2022-07-17;2022-07-18;2.30
2022-07-18;2022-07-19;8.80
2022-07-19;2022-07-20;
2022-07-20;2022-07-21;10.8
2022-07-21;2022-07-22;21.0
2022-07-22;2022-07-23;12.2
2022-07-23;2022-07-24;8.20
2022-07-24;2022-07-25;10.0
2022-07-25;2022-07-26;4.50
2022-07-26;2022-07-27;8.90
2022-07-27;2022-07-28;3.80
2022-07-28;2022-07-29;5.70
2022-07-29;2022-07-30;4.70
2022-07-30;2022-07-31;5.60
2022-07-31;2022-08-01;11.4
2022-08-01;2022-08-02;7.70
2022-08-02;2022-08-03;5.40
2022-08-03;2022-08-04;15.8
2022-08-04;2022-08-05;15.3
2022-08-05;2022-08-06;9.90
2022-08-06;2022-08-07;7.40
2022-08-07;2022-08-08;14.1
2022-08-08;2022-08-09;15.4
2022-08-09;2022-08-10;10.9
2022-08-10;2022-08-11;10.2
2022-08-11;2022-08-12;2.70
2022-08-12;2022-08-13;8.10
2022-08-13;2022-08-14;26.3
2022-08-14;2022-08-15;13.3
2022-08-15;2022-08-16;14.5
2022-08-16;2022-08-17;33.1
2022-08-17;2022-08-18;22.6
2022-08-18;2022-08-19;14.5
2022-08-19;2022-08-20;31.2
2022-08-20;2022-08-21;19.5
2022-08-21;2022-08-22;12.7
2022-08-22;2022-08-23;1.00
2022-08-23;2022-08-24;8.80
2022-08-24;2022-08-25;5.40
2022-08-25;2022-08-26;8.00
2022-08-26;2022-08-27;8.00
2022-08-27;2022-08-28;20.4
2022-08-28;2022-08-29;1.10
2022-08-29;2022-08-30;2.70
2022-08-30;2022-08-31;5.30
2022-08-31;2022-09-01;13.1
2022-09-01;2022-09-02;4.30
2022-09-02;2022-09-03;
2022-09-03;2022-09-04;3.40
2022-09-04;2022-09-05;4.40
2022-09-05;2022-09-06;2.30
2022-09-06;2022-09-07;14.0
2022-09-07;2022-09-08;5.60
2022-09-08;2022-09-09;1.50
2022-09-09;2022-09-10;8.00
2022-09-10;2022-09-11;12.1
2022-09-11;2022-09-12;11.7
2022-09-12;2022-09-13;15.8
2022-09-13;2022-09-14;
2022-09-14;2022-09-15;
2022-09-15;2022-09-16;7.90
2022-09-16;2022-09-17;5.20
2022-09-17;2022-09-18;3.30
2022-09-18;2022-09-19;1.40
2022-09-19;2022-09-20;2.20
2022-09-20;2022-09-21;3.60
2022-09-21;2022-09-22;8.90
2022-09-22;2022-09-23;14.5
2022-09-23;2022-09-24;10.1
2022-09-24;2022-09-25;19.1
2022-09-25;2022-09-26;19.3
2022-09-26;2022-09-27;5.90
2022-09-27;2022-09-28;12.4
2022-09-28;2022-09-29;6.70
2022-09-29;2022-09-30;6.90
2022-09-30;2022-10-01;4.80
2022-10-01;2022-10-02;6.70
2022-10-02;2022-10-03;12.4
2022-10-03;2022-10-04;12.3
2022-10-04;2022-10-05;9.70
2022-10-05;2022-10-06;11.4
2022-10-06;2022-10-07;10.6
2022-10-07;2022-10-08;16.0
2022-10-08;2022-10-09;7.60
2022-10-09;2022-10-10;6.10
2022-10-10;2022-10-11;15.7
2022-10-11;2022-10-12;5.80
2022-10-12;2022-10-13;9.00
2022-10-13;2022-10-14;14.8
2022-10-14;2022-10-15;18.7
2022-10-15;2022-10-16;22.0
2022-10-16;2022-10-17;9.30
2022-10-17;2022-10-18;13.7
2022-10-18;2022-10-19;7.90
2022-10-19;2022-10-20;3.30
2022-10-20;2022-10-21;24.8
2022-10-21;2022-10-22;14.9
2022-10-22;2022-10-23;16.5
2022-10-23;2022-10-24;12.7
2022-10-24;2022-10-25;3.50
2022-10-25;2022-10-26;6.70
2022-10-26;2022-10-27;4.40
2022-10-27;2022-10-28;13.2
2022-10-28;2022-10-29;17.9
2022-10-29;2022-10-30;5.40
2022-10-30;2022-10-31;12.5
2022-10-31;2022-11-01;15.0
2022-11-01;2022-11-02;13.9
2022-11-02;2022-11-03;10.9
2022-11-03;2022-11-04;13.3
2022-11-04;2022-11-05;7.40
2022-11-05;2022-11-06;18.7
2022-11-06;2022-11-07;11.4
2022-11-07;2022-11-08;6.10
2022-11-08;2022-11-09;
2022-11-09;2022-11-10;9.40
2022-11-10;2022-11-11;13.7
2022-11-11;2022-11-12;9.60
2022-11-12;2022-11-13;
2022-11-13;2022-11-14;25.4
2022-11-14;2022-11-15;10.0
2022-11-15;2022-11-16;9.20
2022-11-16;2022-11-17;8.80
2022-11-17;2022-11-18;11.4
2022-11-18;2022-11-19;3.60
2022-11-19;2022-11-20;8.70
2022-11-20;2022-11-21;4.40
2022-11-21;2022-11-22;8.70
2022-11-22;2022-11-23;4.70
2022-11-23;2022-11-24;12.2
2022-11-24;2022-11-25;3.10
2022-11-25;2022-11-26;9.10
2022-11-26;2022-11-27;10.8
2022-11-27;2022-11-28;26.6
2022-11-28;2022-11-29;8.10
2022-11-29;2022-11-30;7.10
2022-11-30;2022-12-01;9.30
2022-12-01;2022-12-02;10.3
2022-12-02;2022-12-03;14.8
2022-12-03;2022-12-04;18.6
2022-12-04;2022-12-05;21.1
2022-12-05;2022-12-06;18.2
2022-12-06;2022-12-07;15.2
2022-12-07;2022-12-08;13.7
2022-12-08;2022-12-09;11.4
2022-12-09;2022-12-10;12.0
2022-12-10;2022-12-11;6.90
2022-12-11;2022-12-12;1.60
2022-12-12;2022-12-13;1.20
2022-12-13;2022-12-14;7.10
2022-12-14;2022-12-15;6.00
2022-12-15;2022-12-16;9.70
2022-12-16;2022-12-17;16.4
2022-12-17;2022-12-18;5.40
2022-12-18;2022-12-19;11.6
2022-12-19;2022-12-20;12.4
2022-12-20;2022-12-21;10.7
2022-12-21;2022-12-22;10.7
2022-12-22;2022-12-23;2.70
2022-12-23;2022-12-24;4.40
2022-12-24;2022-12-25;7.50
2022-12-25;2022-12-26;9.20
2022-12-26;2022-12-27;8.70
2022-12-27;2022-12-28;3.30
2022-12-28;2022-12-29;4.70
2022-12-29;2022-12-30;5.70
2022-12-30;2022-12-31;8.40
2022-12-31;2023-01-01;4.70
